               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  49,            0.028286,            0.010523,                   0,             0.92929,             0.93182,             0.96383,             0.65924,            0.017234,           0.0054734,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.028016,             0.01068,                   0,             0.96863,             0.86364,             0.94596,             0.62601,            0.020025,           0.0053621,                   0,            0.006766,            0.006766,            0.006766
                  51,             0.02801,            0.010577,                   0,             0.94504,             0.90909,             0.95774,             0.64828,            0.018318,           0.0054539,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.026428,            0.010606,                   0,             0.96733,             0.93182,             0.95954,             0.62969,            0.016816,           0.0052765,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.027189,            0.010514,                   0,             0.99608,             0.95455,             0.97619,             0.63458,            0.017265,           0.0053829,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.027463,            0.010406,                   0,             0.95744,             0.93182,             0.97055,             0.60168,            0.020412,           0.0054485,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.027133,           0.0099259,                   0,                   1,             0.94903,             0.97976,             0.66889,            0.016804,           0.0050432,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.026102,            0.010463,                   0,                   1,              0.9527,             0.97714,             0.66271,            0.017234,           0.0050029,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.026592,           0.0099004,                   0,             0.95334,             0.92882,             0.95242,             0.55045,             0.01977,           0.0053318,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.027245,            0.011026,                   0,                   1,             0.97428,              0.9821,               0.626,            0.017461,           0.0050711,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.026335,            0.010227,                   0,                   1,             0.95199,             0.98337,             0.64422,            0.019464,           0.0050637,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.025628,           0.0095988,                   0,             0.97671,             0.95304,             0.98247,             0.61372,            0.019258,           0.0057358,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.024809,           0.0094542,                   0,              0.9814,             0.90909,             0.97127,             0.62014,            0.019233,           0.0053785,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.025154,            0.010133,                   0,             0.94883,             0.93182,             0.95073,             0.60357,            0.020636,           0.0055039,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.026667,            0.010156,                   0,             0.95314,             0.93182,             0.95283,             0.63539,            0.018923,           0.0057005,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.025159,           0.0096904,                   0,              0.9468,             0.90909,             0.94624,             0.61095,            0.019764,           0.0058564,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.024612,           0.0093282,                   0,             0.95342,             0.93037,             0.95031,             0.63888,            0.019617,           0.0053104,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.024745,           0.0095076,                   0,             0.97354,             0.90909,             0.94647,             0.64356,            0.019642,           0.0051909,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.024519,           0.0093752,                   0,                   1,             0.93068,             0.95764,             0.63791,            0.020024,           0.0054105,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.023672,           0.0095219,                   0,             0.99659,             0.93182,             0.97548,             0.69212,            0.017812,           0.0051379,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.024083,           0.0092514,                   0,             0.95339,             0.92972,             0.95624,             0.61408,            0.018669,           0.0052007,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.023743,           0.0094715,                   0,             0.97647,             0.95455,             0.97523,             0.67523,            0.016566,           0.0047809,                   0,            0.005446,            0.005446,            0.005446
                  71,            0.024185,            0.009388,                   0,             0.95461,             0.95602,             0.97867,             0.68841,             0.01745,           0.0047036,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.023697,           0.0091607,                   0,             0.95232,             0.90909,             0.94873,             0.65651,             0.01779,           0.0051733,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.024051,           0.0093882,                   0,             0.97668,             0.95186,             0.97522,             0.70253,            0.016963,           0.0052771,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.023994,           0.0087382,                   0,             0.95112,             0.95455,             0.96876,             0.68749,            0.016658,           0.0053651,                   0,            0.005182,            0.005182,            0.005182
                  75,             0.02313,           0.0084958,                   0,             0.97273,             0.90909,              0.9593,             0.65941,            0.018142,           0.0054915,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.022193,           0.0092943,                   0,             0.94693,             0.95455,             0.97351,             0.66367,            0.017767,           0.0056286,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.024188,           0.0091307,                   0,              0.9126,             0.94931,             0.96625,             0.67399,            0.017241,            0.005629,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.023193,           0.0091716,                   0,             0.95432,             0.94961,             0.96501,             0.69352,            0.017028,           0.0051389,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.022704,           0.0087302,                   0,             0.97019,             0.95455,             0.97127,             0.69664,            0.015964,           0.0047058,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.022546,           0.0093941,                   0,                   1,             0.90579,             0.97303,             0.69893,            0.015866,           0.0048837,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.023128,           0.0091722,                   0,             0.97658,             0.94791,             0.97417,             0.66727,            0.017996,           0.0052719,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.021922,            0.008207,                   0,                   1,             0.89887,             0.97518,             0.67633,            0.017633,           0.0050518,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.023148,            0.008655,                   0,              0.9732,             0.95455,             0.97527,             0.70656,            0.016871,            0.004928,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.022213,           0.0083312,                   0,             0.97119,             0.95455,             0.97706,             0.71498,            0.016457,           0.0046287,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.023149,           0.0083615,                   0,             0.95441,             0.95167,             0.97386,              0.7101,            0.015572,           0.0045635,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.022178,           0.0080675,                   0,             0.99887,             0.93182,             0.97448,             0.69288,            0.016319,           0.0049739,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.021548,           0.0084134,                   0,             0.95007,             0.93182,             0.96611,             0.66145,            0.017037,           0.0054073,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.021522,           0.0086885,                   0,             0.97204,             0.93182,             0.96318,             0.65108,            0.017488,           0.0056993,                   0,            0.004258,            0.004258,            0.004258
                  89,            0.021043,           0.0082025,                   0,             0.97589,             0.93182,              0.9652,             0.67414,            0.016852,           0.0053305,                   0,            0.004192,            0.004192,            0.004192
                  90,            0.021163,           0.0080995,                   0,             0.97452,             0.93182,             0.96772,             0.67474,            0.017146,           0.0049571,                   0,            0.004126,            0.004126,            0.004126
                  91,            0.020735,           0.0084822,                   0,             0.97551,              0.9055,             0.95336,             0.68738,            0.018303,           0.0049101,                   0,             0.00406,             0.00406,             0.00406
                  92,            0.020069,           0.0077872,                   0,             0.95441,             0.95455,             0.96894,             0.66072,             0.01683,           0.0051298,                   0,            0.003994,            0.003994,            0.003994
                  93,            0.020714,           0.0082855,                   0,             0.94923,             0.90909,             0.96235,              0.6557,            0.016352,           0.0051179,                   0,            0.003928,            0.003928,            0.003928
                  94,            0.020358,            0.008311,                   0,             0.95336,             0.92909,              0.9677,               0.682,            0.016003,           0.0049523,                   0,            0.003862,            0.003862,            0.003862
                  95,            0.019283,           0.0079112,                   0,             0.99817,             0.93182,             0.97678,             0.68038,            0.015147,           0.0053022,                   0,            0.003796,            0.003796,            0.003796
                  96,            0.020177,           0.0076257,                   0,             0.92878,             0.90909,             0.94544,             0.68359,            0.015392,           0.0054471,                   0,             0.00373,             0.00373,             0.00373
                  97,            0.020564,           0.0078893,                   0,              0.8911,             0.92991,             0.94225,             0.67977,            0.016497,           0.0054907,                   0,            0.003664,            0.003664,            0.003664
                  98,            0.020274,           0.0081807,                   0,             0.92661,             0.90909,             0.94784,             0.66878,            0.016324,           0.0052156,                   0,            0.003598,            0.003598,            0.003598
                  99,            0.019382,           0.0078812,                   0,             0.95078,             0.93182,             0.96316,             0.69136,            0.016185,           0.0052355,                   0,            0.003532,            0.003532,            0.003532
                 100,              0.0199,           0.0081793,                   0,             0.92985,             0.95455,             0.96434,             0.67841,            0.015605,           0.0053515,                   0,            0.003466,            0.003466,            0.003466
                 101,            0.020616,            0.008437,                   0,             0.93036,             0.95455,             0.96591,             0.66744,            0.015976,           0.0053091,                   0,              0.0034,              0.0034,              0.0034
                 102,            0.020116,           0.0082412,                   0,             0.95222,             0.90603,             0.95801,             0.68091,            0.016034,           0.0058995,                   0,            0.003334,            0.003334,            0.003334
                 103,            0.018839,           0.0076497,                   0,             0.90676,             0.93182,             0.95621,             0.69023,            0.015205,           0.0056694,                   0,            0.003268,            0.003268,            0.003268
                 104,            0.018641,            0.007765,                   0,             0.93323,             0.95292,             0.96168,             0.69844,            0.014316,           0.0054958,                   0,            0.003202,            0.003202,            0.003202
