               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                  54,            0.022398,            0.011482,                   0,             0.95066,             0.93182,               0.969,             0.59188,            0.020333,           0.0081207,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.022467,            0.011583,                   0,             0.95177,             0.95455,             0.97384,             0.60189,            0.021367,            0.007863,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.022226,            0.011264,                   0,             0.98407,             0.93182,             0.96606,             0.54682,            0.023546,           0.0083151,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.022373,            0.011391,                   0,                   1,             0.95175,             0.96646,             0.61358,            0.019299,           0.0074854,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.021814,            0.011105,                   0,             0.94202,             0.88636,              0.9519,             0.55722,            0.021338,           0.0080943,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.021733,            0.011191,                   0,             0.96446,             0.95455,             0.96083,             0.58807,            0.020092,            0.007419,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.021932,            0.011193,                   0,             0.97187,             0.93182,             0.96732,             0.61323,            0.019033,           0.0072774,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.021681,            0.011192,                   0,             0.99673,             0.95455,             0.97365,             0.60741,            0.020896,           0.0078394,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.021307,            0.011066,                   0,             0.96817,             0.95455,             0.97433,             0.65257,            0.020385,           0.0070279,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.021412,            0.011113,                   0,             0.97662,             0.94958,             0.96108,             0.62305,            0.020701,           0.0078498,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.020839,            0.010626,                   0,             0.99683,             0.90909,             0.95798,             0.63958,            0.019977,           0.0078291,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.021229,            0.010844,                   0,             0.98876,             0.93182,             0.97619,             0.64722,            0.018216,            0.007556,                   0,            0.005776,            0.005776,            0.005776
                  66,            0.020836,            0.010883,                   0,             0.97308,             0.95455,             0.97119,             0.63556,            0.020961,           0.0069439,                   0,             0.00571,             0.00571,             0.00571
                  67,            0.020829,            0.010905,                   0,             0.95074,             0.95455,             0.95393,              0.6052,            0.020562,           0.0082855,                   0,            0.005644,            0.005644,            0.005644
                  68,            0.020754,             0.01094,                   0,                   1,             0.95221,             0.97543,             0.62962,            0.020724,           0.0083237,                   0,            0.005578,            0.005578,            0.005578
                  69,            0.020549,            0.010924,                   0,             0.99782,             0.95455,              0.9749,             0.64494,            0.019812,           0.0074799,                   0,            0.005512,            0.005512,            0.005512
                  70,            0.020863,            0.010555,                   0,             0.97666,             0.95098,             0.97263,             0.61748,            0.020646,           0.0078621,                   0,            0.005446,            0.005446,            0.005446
                  71,             0.02037,            0.010693,                   0,             0.96845,             0.95455,             0.96916,             0.62067,            0.020971,           0.0078013,                   0,             0.00538,             0.00538,             0.00538
                  72,            0.020585,            0.010736,                   0,                   1,             0.94927,             0.97381,             0.59899,            0.019581,           0.0083368,                   0,            0.005314,            0.005314,            0.005314
                  73,            0.020649,             0.01058,                   0,             0.93323,             0.95295,             0.96341,             0.62384,            0.018204,           0.0078506,                   0,            0.005248,            0.005248,            0.005248
                  74,            0.020307,            0.010745,                   0,             0.99746,             0.90909,             0.96755,             0.62951,            0.017917,           0.0075534,                   0,            0.005182,            0.005182,            0.005182
                  75,            0.020236,            0.010731,                   0,                   1,             0.92412,             0.97326,             0.64306,            0.018549,           0.0078003,                   0,            0.005116,            0.005116,            0.005116
                  76,            0.019972,            0.010472,                   0,             0.99202,             0.95455,             0.96997,             0.64266,            0.018383,           0.0075738,                   0,             0.00505,             0.00505,             0.00505
                  77,            0.019563,            0.010155,                   0,             0.94829,             0.95455,             0.96576,             0.61977,            0.019816,           0.0082941,                   0,            0.004984,            0.004984,            0.004984
                  78,            0.019895,            0.010335,                   0,             0.97164,             0.95455,             0.97043,              0.6207,            0.019712,           0.0077236,                   0,            0.004918,            0.004918,            0.004918
                  79,            0.019423,            0.010187,                   0,             0.99564,             0.93182,             0.96014,             0.64054,            0.019666,           0.0077073,                   0,            0.004852,            0.004852,            0.004852
                  80,            0.019495,            0.010341,                   0,              0.9985,             0.95455,             0.97076,             0.66951,            0.018395,           0.0068771,                   0,            0.004786,            0.004786,            0.004786
                  81,            0.019436,            0.010283,                   0,             0.99713,             0.95455,             0.97519,             0.63908,            0.019338,           0.0074319,                   0,             0.00472,             0.00472,             0.00472
                  82,            0.019469,            0.010422,                   0,             0.97398,             0.95455,             0.96359,             0.65662,            0.017075,           0.0071214,                   0,            0.004654,            0.004654,            0.004654
                  83,            0.019733,             0.01015,                   0,                   1,             0.95174,             0.96303,             0.64761,            0.017203,           0.0074059,                   0,            0.004588,            0.004588,            0.004588
                  84,            0.019552,            0.010161,                   0,              0.9972,             0.95455,              0.9692,             0.62111,            0.018338,           0.0075925,                   0,            0.004522,            0.004522,            0.004522
                  85,            0.019636,            0.010156,                   0,              0.9983,             0.95455,             0.97096,             0.65804,            0.018553,           0.0071413,                   0,            0.004456,            0.004456,            0.004456
                  86,            0.019353,            0.010246,                   0,             0.99998,             0.95455,             0.97431,             0.65744,             0.01759,           0.0071533,                   0,             0.00439,             0.00439,             0.00439
                  87,            0.019223,            0.010189,                   0,             0.99779,             0.95455,             0.97338,             0.61664,            0.019328,           0.0077266,                   0,            0.004324,            0.004324,            0.004324
                  88,            0.019202,            0.010024,                   0,             0.97328,             0.93182,             0.96205,             0.63065,            0.018798,           0.0082197,                   0,            0.004258,            0.004258,            0.004258
